Strain,Sex,Age,ID,ALB g/dL,ALT IU/L,BUN mg/dL,CAL mg/dL,CHOL mg/dL,GLU mg/dL,HDLX mg/dL,PHOS mg/dL,T4 ug/dL,TP g/dL,TRIG mg/dL,NA mmol/L,K mmol/L,CL mmol/L,NEFA mEq/L,LDLD mg/dL,CO2 mmol/L,,
5557,F,16,3,3.3,19,23,10,75,208,54.1,6.8,7.1,5.3,114,159.6,4.74,122.2,1.14,,,,
5557,F,16,4,3.4,30,26,10.2,69,233,52.2,7,6.8,5.5,77,157,5.02,124.5,0.64,,,,
5557,F,16,5,3.4,28,27,10.6,80,268,59,7.6,6.9,5.5,105,159.7,4.42,126.4,1.05,,,,
5557,F,16,6,3.2,24,24,9.6,72,174,53.6,6.5,6,5,113,150.5,5.03,115.1,0.8,,,,
5557,F,16,7,3.4,21,26,10,69,244,51.9,6.9,6.5,5.4,103,155.8,4.83,125.3,1.22,,,,
5557,F,16,8,3.3,24,25.0,10.1,77,255,59,8.5,5.7,5.3,92,158.1,4.42,126.1,0.82,,,,
5557,F,16,9,3.1,27,23.0,9.5,84,277,62.6,6.6,6.6,5.1,92,157.6,3.72,120.9,1.46,,,,
5557,F,16,10,3,23,21.0,9.3,64,225,47.5,6.5,6.1,4.8,57,149.7,3.08,116.4,1.04,,,,
5557,F,16,11,3.3,22,20,9.6,78,225,57.5,7.2,4.9,5.4,91,147.0,5.27,123.9,0.87,,,,
5557,F,16,12,4.0,27,27,13.2,95,339,64.7,8.7,5.8,6.6,117,154.9,6.23,159.6,1.43,,,,
5557,F,16,13,3.6,25,27,12.1,81,307,57.7,8.8,5.6,5.9,130,160.7,6.22,152.4,1.08,,,,
5557,F,16,14,4.2,25,27,13.6,91,370,63.4,9.8,5.9,6.9,187,116.8,5.53,164.2,1.98,,,,
5557,F,16,15,3.8,25,24,11.7,78,292,59.4,7.5,5.0,6.2,66,158.1,6.01,148.4,0.72,,,,
5557,F,16,16,3.3,23,26,10.8,53,282,40.2,8.1,5.3,5.4,87,158.2,4.96,132.4,0.91,,,,
5557,F,16,17,3.4,23,21,10.7,71,282,54.6,6.5,5.5,5.6,79,152.2,5.31,136.7,1.00,,,,
5557,F,16,18,2.7,26,19,8.5,55,265,36.7,8.5,3.8,4.3,68,148.3,4.38,117.0,0.95,,,,
5557,F,16,19,2.8,20,23,8.8,80,142,58.6,6.7,5.1,4.6,207,153.5,5.02,113.4,0.82,2.82,22.2,,
5557,F,16,20,2.8,14,17,8.9,56,192,38.4,6.7,4.8,4.5,93,150.9,5.83,114.1,0.71,4.37,18.6,,
5557,F,16,21,3.2,31,22,10,94,195,68.6,6.4,5.9,5.2,177,151.6,5.05,117.9,0.89,2.95,24.3,,
5557,F,16,22,3.1,18,21,10.4,86,233,63.5,7.9,6,5.2,194,152.7,5.28,123.3,1.09,3.13,20.4,,
5557,F,16,23,2.9,21,24,9.6,92,209,64.9,8.3,4.6,4.7,341,158.1,4.76,117,1.15,2.37,22,,
5557,F,16,24,3,26,22,10,89,163,64.2,8.4,6.3,5,188,148.2,5.66,122.1,0.93,3.31,22.9,,
