Strain,Sex,Age,ID,WBC x10^3/uL,RBC x10^6/uL,HGB g/dL,HGBCell g/dL,HCT %,MCV fL,MCH pg,MCHC g/dL,CH pg,CHCM g/dL,RDW %,HDW g/dL,PLT x10^3/uL,PDW% %,MPV fL,MPM pg,%NEUT ,%LYMPH ,%MONO ,%EOS ,%BASO ,%LUC ,%RETIC ,#RETIC 10^9cells/L,CHR pg,CHm pg,#NEUT 10^3cells/ul,#LYMPH 10^3cells/ul,#MONO 10^3cells/ul,#EOS 10^3cells/ul,#BASO 10^3cells/ul,#LUC 10^3cells/ul,,,,,,,,,
5557,M,8,3,0.44,7.32,11.7,10.2,36.1,49.4,16.0,32.5,13.9,28.2,13.0,2.14,964,44.0,5.6,1.23,68.9,10.9,4.3,11.1,0.3,4.8,2.65,194,15.6,14.6,0.3,0.05,0.02,0.05,0,0.02,,,,,,,,,
5557,M,8,4,0.16,5.97,9.6,8.3,29.7,49.8,16.0,32.2,13.9,27.9,12.7,2.13,339,47.4,5.2,1.24,64.1,21.1,3.3,6.5,0.0,5.0,2.31,137.6,15.9,14.6,0.1,0.03,0.01,0.01,0,0.01,,,,,,,,,
5557,M,8,5,0.47,6.66,10.6,9.5,32.4,48.6,15.9,32.8,14.3,29.4,12.9,2.40,644,39.2,5.2,1.24,48.8,16.8,4.2,9.9,0.0,20.4,3.38,224.9,16.1,14.8,0.23,0.08,0.02,0.05,0,0.1,,,,,,,,,
5557,M,8,6,0.23,5.44,8.7,7.6,26.5,48.6,15.9,32.7,14.0,28.9,13.0,2.25,244,51.6,5.6,1.24,6.5,89.9,1.6,1.8,1.5,0.1,3.19,173.8,16,14.6,0.01,0.21,0,0,0,0,,,,,,,,,
5557,M,8,7,0.29,6.17,9.8,8.7,29.6,48.0,15.9,33.1,14.2,29.5,13.0,2.35,620,44.4,5.2,1.23,55.5,19.3,3.1,17.4,0.4,4.7,2.46,151.7,15.7,14.7,0.16,0.06,0.01,0.05,0,0.01,,,,,,,,,
5557,M,8,8,0.41,6.62,10.4,9.4,31.4,47.4,15.8,33.2,14.2,30.0,13.5,2.42,921,39.2,5.5,1.23,68.9,13.5,5.9,8.8,0.0,2.9,3.92,259.6,15.8,14.7,0.29,0.06,0.02,0.04,0.00,0.01,,,,,,,,,
5557,M,8,9,0.30,7.25,11.6,10.3,34.9,48.1,16.0,33.3,14.2,29.6,13.5,2.42,1311,39.2,5.1,1.24,73.4,15.1,4.7,5.8,0.8,1.1,3.86,279.6,16.0,14.7,0.22,0.05,0.01,0.02,0.00,0.00,,,,,,,,,
5557,M,8,10,0.34,6.10,9.7,8.7,30.0,49.2,15.9,32.3,14.3,29.1,13.3,2.41,636,39.2,5.0,1.23,73.0,12.6,2.6,9.5,0.0,2.3,3.44,209.9,15.7,14.8,0.25,0.04,0.01,0.03,0.00,0.01,,,,,,,,,
5557,M,8,11,0.48,6.61,10.6,9.4,31.9,48.2,16.0,33.1,14.2,29.4,13.2,2.34,935,41.7,5.5,1.22,65.7,18.9,6.0,8.9,1.0,0.5,3.90,257.7,15.9,14.7,0.31,0.09,0.03,0.04,0.00,0.00,,,,,,,,,
5557,M,8,12,0.46,7.18,11.6,10.3,34.3,47.8,16.1,33.7,14.3,29.9,13.2,2.34,1082,41.9,5.6,1.25,62.1,13.3,7.9,9.9,0.5,6.3,3.30,237.0,15.8,14.8,0.28,0.06,0.04,0.05,0.00,0.03,,,,,,,,,
5557,M,8,13,0.34,7.61,11.8,10.8,36.4,47.8,15.5,32.5,14.1,29.5,13.4,2.42,1331,42.7,5.6,1.22,68.4,10.9,8.6,9.9,0.3,2.3,3.67,279.5,15.8,14.6,0.23,0.04,0.03,0.03,0.00,0.01,,,,,,,,,
5557,M,8,14,0.42,7.33,11.4,10.3,35.3,48.2,15.6,32.3,14.0,29.2,13.5,2.29,1440,41.9,5.5,1.25,73.8,16.1,6.0,3.9,0.6,0.3,3.69,270.1,15.9,14.7,0.31,0.07,0.02,0.02,0.00,0.00,,,,,,,,,
5557,M,8,15,0.31,7.27,11.5,10.4,35.0,48.1,15.7,32.7,14.2,29.7,13.5,2.33,1183,43.7,5.5,1.25,67.5,11.6,4.1,14.0,0.4,2.7,3.50,254.6,15.9,14.7,0.21,0.04,0.01,0.04,0.00,0.01,,,,,,,,,
5557,M,8,16,1.66,7.50,10.7,,39.6,52.8,14.3,27.0,,,20.4,,1366,,5.1,,27.8,45.3,22.0,3.3,1.7,,,,,,0.46,0.75,0.37,0.05,0.03,,,,,,,,,,
5557,M,8,17,1.40,7.40,11.5,,37.2,50.3,15.5,30.9,,,18.0,,1044,,4.9,,32.5,35.2,29.0,2.5,0.8,,,,,,0.46,0.49,0.41,0.03,0.01,,,,,,,,,,
5557,M,8,18,1.68,7.13,11.4,,37.1,52.0,16.0,30.7,,,19.3,,777,,4.8,,48.6,22.6,20.9,6.4,1.5,,,,,,0.80,0.38,0.35,0.11,0.03,,,,,,,,,,
5557,M,8,19,1.38,7.32,10.8,,34.6,47.3,14.8,31.2,,,17.9,,905,,4.9,,49.4,27.2,20.7,2.4,0.3,,,,,,0.68,0.38,0.29,0.03,0.00,,,,,,,,,,
5557,M,8,20,1.04,7.33,10.6,,34.2,46.6,14.5,31.0,,,17.6,,1273,,4.8,,52.0,23.5,21.1,3.0,0.5,,,,,,0.54,0.24,0.22,0.03,0.00,,,,,,,,,,
5557,M,8,21,1.08,6.82,10.2,,32.3,47.3,15.0,31.6,,,17.1,,1214,,4.9,,49.9,22.9,23.9,3.0,0.4,,,,,,0.54,0.25,0.26,0.03,0.00,,,,,,,,,,
5557,M,8,22,1.28,7.10,10.8,,35.9,50.6,15.2,30.1,,,19.5,,1247,,4.8,,48.1,26.7,21.2,3.2,0.8,,,,,,0.62,0.34,0.27,0.04,0.01,,,,,,,,,,
5557,M,8,23,1.12,6.90,10.4,,32.6,47.2,15.1,31.9,,,17.9,,1049,,4.8,,45.1,24.4,20.8,7.8,2.0,,,,,,0.50,0.70,0.23,0.09,0.02,,,,,,,,,,
5557,M,8,24,0.86,6.94,10.6,,34.4,49.5,15.3,30.8,,,18.3,,1141,,5.0,,47.8,25.6,20.7,5.7,0.3,,,,,,0.41,0.22,0.18,0.05,0.00,,,,,,,,,,
5557,F,16,1,0.68,7.41,11.8,10.6,35.4,47.8,15.9,33.3,14.2,29.8,13.6,2.42,996,39.2,4.7,1.23,78.2,0.2,4.4,16.3,0.2,1.0,4.56,337.5,15.9,14.7,0.53,0.00,0.03,0.11,0.00,0.01,,,,,,,,,
5557,F,16,2,0.91,7.60,11.9,10.9,36.6,48.2,15.6,32.4,14.3,29.7,13.5,2.39,1338,39.4,4.8,1.25,62.0,14.0,3.5,6.7,0.5,13.9,3.75,284.5,15.9,14.8,0.56,0.13,0.03,0.06,0.00,0.13,,,,,,,,,
5557,F,16,3,0.55,7.08,11.2,10.0,33.7,47.6,15.8,33.2,14.1,29.8,13.7,2.45,815,37.8,4.8,1.24,63.6,10.8,3.3,20.3,1.1,2.1,4.56,323.0,16.0,14.6,0.35,0.06,0.02,0.11,0.01,0.01,,,,,,,,,
5557,F,16,4,0.54,7.56,11.8,10.7,35.5,46.9,15.6,33.2,14.1,30.1,13.6,2.41,942,38.2,4.7,1.23,63.4,16.0,4.2,12.1,0.6,4.2,4.23,319.8,15.9,14.5,0.34,0.09,0.02,0.07,0.00,0.02,,,,,,,,,
5557,F,16,5,0.35,6.97,11.0,10.0,32.0,46.0,15.8,34.3,14.3,31.2,13.3,2.45,720,37.6,4.7,1.22,62.1,14.9,5.6,15.8,0.7,1.6,3.86,268.9,16.1,14.7,0.22,0.05,0.02,0.06,0.00,0.01,,,,,,,,,
5557,F,16,6,0.38,6.79,10.3,9.7,31.5,46.4,15.2,32.7,14.2,30.7,13.5,2.48,594,39.1,4.8,1.22,59.7,11.1,4.1,16.2,1.2,8.9,4.48,304.6,15.9,14.6,0.23,0.04,0.02,0.06,0.00,0.03,,,,,,,,,
5557,F,16,7,0.43,7.33,11.9,10.5,36.0,49.0,16.2,33.0,14.3,29.2,13.8,2.38,915,39.0,4.8,1.26,61.8,14.9,3.3,13.3,0.3,6.8,5.24,384.5,16.2,14.8,0.27,0.06,0.01,0.06,0.00,0.03,,,,,,,,,
5557,F,16,8,0.58,6.57,9.4,9.4,31.0,47.2,14.2,30.2,14.2,30.2,13.7,2.40,662,37.3,4.8,1.24,70.1,10.5,3.9,9.4,0.6,6.0,4.41,289.7,16.1,14.7,0.41,0.06,0.02,0.05,0.00,0.04,,,,,,,,,
5557,F,16,9,0.50,7.85,12.0,11.2,37.4,47.6,15.2,32.0,14.2,29.9,13.6,2.39,1158,41.4,4.8,1.23,71.6,14.5,4.4,8.8,0.9,0.7,3.98,312.2,16.1,14.7,0.36,0.07,0.02,0.04,0.00,0.00,,,,,,,,,
5557,F,16,10,0.94,2.00,1.0,2.8,9.7,48.4,14.1,29.2,14.1,29.2,14.0,2.38,161,45.3,4.6,1.21,65.7,11.5,5.2,17.4,0.4,0.3,4.94,98.6,15.9,14.7,0.61,0.11,0.05,0.16,0.00,0.00,,,,,,,,,
5557,F,16,11,0.66,7.35,11.3,10.4,34.3,46.7,15.3,32.8,14.1,30.3,14.1,2.40,819,41.1,4.6,1.23,69.6,13.0,3.9,11.6,0.2,1.8,4.61,338.4,16.0,14.5,0.46,0.09,0.03,0.08,0.00,0.01,,,,,,,,,
5557,F,16,12,0.30,5.72,9.0,8.2,26.4,46.1,15.6,33.9,14.1,30.7,13.8,2.44,368,35.4,4.6,1.20,64.1,21.1,6.3,8.5,0.8,0.0,3.47,199.0,15.6,14.5,0.18,0.06,0.02,0.02,0.00,0.00,,,,,,,,,
5557,F,16,13,0.58,7.57,11.9,10.7,35.2,46.5,15.7,33.8,14.1,30.5,13.9,2.39,956,39.6,4.7,1.24,59.8,20.5,4.7,12.3,0.0,2.7,4.19,317.0,15.8,14.6,0.35,0.12,0.03,0.07,0.00,0.02,,,,,,,,,
5557,F,16,14,0.42,7.00,10.8,9.9,32.5,46.5,15.4,33.1,14.2,30.6,13.6,2.49,498,39.8,4.8,1.21,49.4,15.3,5.0,26.3,1.1,4.0,3.97,277.9,15.8,14.5,0.21,0.06,0.02,0.11,0.00,0.02,,,,,,,,,
